CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2017-18,2017,40,0-4 yr,0.1,0.1
Entire Network,FluSurv-NET,2017-18,2017,41,0-4 yr,0.2,0.1
Entire Network,FluSurv-NET,2017-18,2017,42,0-4 yr,0.3,0.1
Entire Network,FluSurv-NET,2017-18,2017,43,0-4 yr,0.4,0.1
Entire Network,FluSurv-NET,2017-18,2017,44,0-4 yr,0.7,0.3
Entire Network,FluSurv-NET,2017-18,2017,45,0-4 yr,0.8,0.2
Entire Network,FluSurv-NET,2017-18,2017,46,0-4 yr,1.1,0.3
Entire Network,FluSurv-NET,2017-18,2017,47,0-4 yr,1.9,0.8
Entire Network,FluSurv-NET,2017-18,2017,48,0-4 yr,2.8,0.9
Entire Network,FluSurv-NET,2017-18,2017,49,0-4 yr,3.5,0.7
Entire Network,FluSurv-NET,2017-18,2017,50,0-4 yr,5.3,1.8
Entire Network,FluSurv-NET,2017-18,2017,51,0-4 yr,8,2.7
Entire Network,FluSurv-NET,2017-18,2017,52,0-4 yr,13.6,5.6
Entire Network,FluSurv-NET,2017-18,2018,1,0-4 yr,18.2,4.6
Entire Network,FluSurv-NET,2017-18,2018,2,0-4 yr,23.2,5
Entire Network,FluSurv-NET,2017-18,2018,3,0-4 yr,28.3,5.1
Entire Network,FluSurv-NET,2017-18,2018,4,0-4 yr,35.8,7.5
Entire Network,FluSurv-NET,2017-18,2018,5,0-4 yr,43.2,7.4
Entire Network,FluSurv-NET,2017-18,2018,6,0-4 yr,50.2,7
Entire Network,FluSurv-NET,2017-18,2018,7,0-4 yr,56.1,5.9
Entire Network,FluSurv-NET,2017-18,2018,8,0-4 yr,60.6,4.5
Entire Network,FluSurv-NET,2017-18,2018,9,0-4 yr,62.5,1.9
Entire Network,FluSurv-NET,2017-18,2017,40,5-17 yr,0,0
Entire Network,FluSurv-NET,2017-18,2017,41,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,42,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,43,5-17 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,44,5-17 yr,0.2,0.1
Entire Network,FluSurv-NET,2017-18,2017,45,5-17 yr,0.4,0.1
Entire Network,FluSurv-NET,2017-18,2017,46,5-17 yr,0.5,0.1
Entire Network,FluSurv-NET,2017-18,2017,47,5-17 yr,0.8,0.3
Entire Network,FluSurv-NET,2017-18,2017,48,5-17 yr,1,0.2
Entire Network,FluSurv-NET,2017-18,2017,49,5-17 yr,1.2,0.2
Entire Network,FluSurv-NET,2017-18,2017,50,5-17 yr,1.8,0.6
Entire Network,FluSurv-NET,2017-18,2017,51,5-17 yr,2.5,0.7
Entire Network,FluSurv-NET,2017-18,2017,52,5-17 yr,3.5,1
Entire Network,FluSurv-NET,2017-18,2018,1,5-17 yr,4.3,0.8
Entire Network,FluSurv-NET,2017-18,2018,2,5-17 yr,5.8,1.6
Entire Network,FluSurv-NET,2017-18,2018,3,5-17 yr,7.3,1.5
Entire Network,FluSurv-NET,2017-18,2018,4,5-17 yr,9,1.7
Entire Network,FluSurv-NET,2017-18,2018,5,5-17 yr,11.3,2.3
Entire Network,FluSurv-NET,2017-18,2018,6,5-17 yr,13.3,2
Entire Network,FluSurv-NET,2017-18,2018,7,5-17 yr,15,1.7
Entire Network,FluSurv-NET,2017-18,2018,8,5-17 yr,16.5,1.6
Entire Network,FluSurv-NET,2017-18,2018,9,5-17 yr,17,0.4
Entire Network,FluSurv-NET,2017-18,2017,40,18-49 yr,0.1,0.1
Entire Network,FluSurv-NET,2017-18,2017,41,18-49 yr,0.1,0
Entire Network,FluSurv-NET,2017-18,2017,42,18-49 yr,0.2,0.1
Entire Network,FluSurv-NET,2017-18,2017,43,18-49 yr,0.3,0.1
Entire Network,FluSurv-NET,2017-18,2017,44,18-49 yr,0.4,0.1
Entire Network,FluSurv-NET,2017-18,2017,45,18-49 yr,0.5,0.1
Entire Network,FluSurv-NET,2017-18,2017,46,18-49 yr,0.7,0.2
Entire Network,FluSurv-NET,2017-18,2017,47,18-49 yr,1,0.3
Entire Network,FluSurv-NET,2017-18,2017,48,18-49 yr,1.4,0.4
Entire Network,FluSurv-NET,2017-18,2017,49,18-49 yr,2,0.5
Entire Network,FluSurv-NET,2017-18,2017,50,18-49 yr,2.7,0.8
Entire Network,FluSurv-NET,2017-18,2017,51,18-49 yr,4.2,1.5
Entire Network,FluSurv-NET,2017-18,2017,52,18-49 yr,6.6,2.3
Entire Network,FluSurv-NET,2017-18,2018,1,18-49 yr,9.2,2.7
Entire Network,FluSurv-NET,2017-18,2018,2,18-49 yr,12.6,3.4
Entire Network,FluSurv-NET,2017-18,2018,3,18-49 yr,15.5,2.8
Entire Network,FluSurv-NET,2017-18,2018,4,18-49 yr,18.3,2.8
Entire Network,FluSurv-NET,2017-18,2018,5,18-49 yr,20.7,2.4
Entire Network,FluSurv-NET,2017-18,2018,6,18-49 yr,23,2.3
Entire Network,FluSurv-NET,2017-18,2018,7,18-49 yr,24.8,1.8
Entire Network,FluSurv-NET,2017-18,2018,8,18-49 yr,26.1,1.3
Entire Network,FluSurv-NET,2017-18,2018,9,18-49 yr,26.6,0.5
Entire Network,FluSurv-NET,2017-18,2017,40,50-64 yr,0.2,0.2
Entire Network,FluSurv-NET,2017-18,2017,41,50-64 yr,0.3,0.1
Entire Network,FluSurv-NET,2017-18,2017,42,50-64 yr,0.5,0.2
Entire Network,FluSurv-NET,2017-18,2017,43,50-64 yr,0.8,0.3
Entire Network,FluSurv-NET,2017-18,2017,44,50-64 yr,1.1,0.3
Entire Network,FluSurv-NET,2017-18,2017,45,50-64 yr,1.6,0.5
Entire Network,FluSurv-NET,2017-18,2017,46,50-64 yr,2.2,0.6
Entire Network,FluSurv-NET,2017-18,2017,47,50-64 yr,3.1,0.9
Entire Network,FluSurv-NET,2017-18,2017,48,50-64 yr,4.1,1
Entire Network,FluSurv-NET,2017-18,2017,49,50-64 yr,5.5,1.3
Entire Network,FluSurv-NET,2017-18,2017,50,50-64 yr,8.2,2.7
Entire Network,FluSurv-NET,2017-18,2017,51,50-64 yr,13.9,5.7
Entire Network,FluSurv-NET,2017-18,2017,52,50-64 yr,22.1,8.1
Entire Network,FluSurv-NET,2017-18,2018,1,50-64 yr,33.3,11.3
Entire Network,FluSurv-NET,2017-18,2018,2,50-64 yr,44.1,10.8
Entire Network,FluSurv-NET,2017-18,2018,3,50-64 yr,53.7,9.6
Entire Network,FluSurv-NET,2017-18,2018,4,50-64 yr,62.9,9.2
Entire Network,FluSurv-NET,2017-18,2018,5,50-64 yr,71.3,8.4
Entire Network,FluSurv-NET,2017-18,2018,6,50-64 yr,79.2,7.8
Entire Network,FluSurv-NET,2017-18,2018,7,50-64 yr,86.2,7
Entire Network,FluSurv-NET,2017-18,2018,8,50-64 yr,91.3,5.1
Entire Network,FluSurv-NET,2017-18,2018,9,50-64 yr,93.6,2.4
