"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","It<U+2019>s mad how much you take being able to breath through your nose for granted <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4> this flu is causing me stress",FALSE,0,NA,2018-03-09 22:57:53,FALSE,NA,"972245115526877184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","omgBuenos",0,FALSE,FALSE,NA,NA
"2","@Gabriel_ffc @fluminenseraiz @FluminenseFC @flu2mil @flumilgr4u @FluDeMunichOFC @Flu_Amor_Eterno @tricolor_faland Brabo,pagou quanto mano?",FALSE,0,"Gabriel_ffc",2018-03-09 22:57:47,FALSE,"971829612480253953","972245090935681024","526576953","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kiedis____",0,FALSE,FALSE,NA,NA
"3","@Flu_Amor_Eterno Essa Liberta era para ser nossa",FALSE,0,"Flu_Amor_Eterno",2018-03-09 22:57:46,FALSE,"972233155099979776","972245085910917122","788122914138783746","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JuanCordeiro_11",0,FALSE,FALSE,NA,NA
"4","RT @ProfPCDoherty: Having working on T cells for more than 40 years and spent 30 of that trying to understand the basic of immunity to' flu<U+2026>",FALSE,0,NA,2018-03-09 22:57:44,FALSE,NA,"972245078356910080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stevejhambleton",216,TRUE,FALSE,NA,NA
"5","@BobLonsberry I eat gluten, don<U+2019>t use hand sanitizer, AND I don<U+2019>t get flu shots!",FALSE,0,"BobLonsberry",2018-03-09 22:57:40,FALSE,"972170423361331201","972245061504290817","267283006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jmarkjudge",0,FALSE,FALSE,NA,NA
"6","RT @Independent_ie: Public advised not to touch dead or sick birds as bird flu confirmed in common buzzard  https://t.co/K6RkaRP3Mg https:/<U+2026>",FALSE,0,NA,2018-03-09 22:57:39,FALSE,NA,"972245057377067008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MikeMcG71253439",8,TRUE,FALSE,NA,NA
"7","@Turkoglu17 Ona burda ""flu"" derler bro <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> yani ""<U+00FC><U+015F><U+00FC>tmek "" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"Turkoglu17",2018-03-09 22:57:35,FALSE,"972242557920038912","972245040939651081","439745059","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i2times",0,FALSE,FALSE,NA,NA
"8","@ssbjezi I was sick this past week and had the flu not too long ago either. I feel you, SO many people are getting sick, it's ridiculous!",FALSE,0,"ssbjezi",2018-03-09 22:57:26,FALSE,"972244688060272640","972245000091242496","48803648","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaksPlayground",0,FALSE,FALSE,NA,NA
"9","Part deaf son woke up today with even less hearing.Hoping like hell it's ear infections from the flu.A blown ear dr<U+2026> https://t.co/R1ptMYnay4",FALSE,0,NA,2018-03-09 22:57:23,TRUE,NA,"972244990221959168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","therealgregjack",0,FALSE,FALSE,NA,NA
"10","RT @verdbrancogrena: Sub-20 do Flu recebe Nova Igua<U+00E7>u neste s<U+00E1>bado em Laranjeiras - https://t.co/tBrUrG5ysJ",FALSE,0,NA,2018-03-09 22:57:21,FALSE,NA,"972244980747128832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FLUMAIOR",1,TRUE,FALSE,NA,NA
